target_year,offset_pos,term,estimate,std.error,statistic,p.value,model
1,FALSE,measurement_error,0.040431838239232215,0.011774133060701804,3.4339545876358777,5.948438444439975e-4,sigma_only_acc68
1,TRUE,(Intercept),-0.9915578240675604,0.28252726594673205,-3.5096004654450224,4.4878048191512014e-4,sigma_only_acc68
1,TRUE,measurement_error,0.03613529246207153,0.012234095227892783,2.9536546666471817,0.0031403520049751604,sigma_only_acc68
1206,FALSE,(Intercept),-0.9398232647106118,0.26902413925611146,-3.4934532912524197,4.768163888024447e-4,sigma_only_acc68
1206,FALSE,measurement_error,0.045638920832006956,0.011596665638884604,3.9355209724229505,8.30164138953644e-5,sigma_only_acc68
1206,TRUE,(Intercept),-0.6541842698087279,0.26919964786587347,-2.430108192915133,0.01509431623221345,sigma_only_acc68
1206,TRUE,measurement_error,0.028290482360915484,0.011599281453832183,2.4389857659302545,0.014728548390964049,sigma_only_acc68
2413,FALSE,(Intercept),-0.23994393971725783,0.2565493916416564,-0.9352738596722429,0.34964718318780197,sigma_only_acc68
2413,FALSE,measurement_error,0.01016889737221266,0.011509826116394645,0.8834970458613653,0.37696777794143516,sigma_only_acc68
2413,TRUE,(Intercept),-0.35845659044808736,0.2660027781210896,-1.3475670930207768,0.17779766051506413,sigma_only_acc68
