is_pos,model,null.deviance,df.null,logLik,AIC,BIC,deviance,df.residual,nobs
FALSE,offset_sigma_curve_comb_interact_acc95,3686.762334606112,5068,-1474.9722316643306,2957.944463328661,2984.0680586825506,2949.944463328661,5065,5069
TRUE,offset_curve_acc68,6783.596072101751,4930,-2937.947930412008,5881.895860824016,5901.405752082689,5875.895860824016,4928,4931
TRUE,offset_curve_acc95,3486.1399271069545,4930,-1416.1550341985665,2838.310068397133,2857.819959655805,2832.310068397133,4928,4931
TRUE,offset_curve_interact_acc68,6783.596072101751,4930,-2937.7502277045714,5883.500455409143,5909.51364375404,5875.500455409143,4927,4931
TRUE,offset_curve_interact_acc95,3486.1399271069545,4930,-1416.1543595262372,2840.3087190524743,2866.321907397371,2832.3087190524743,4927,4931
TRUE,offset_sigma_curve_acc68,6783.596072101751,4930,-2896.5778916524946,5801.155783304989,5827.168971649886,5793.155783304989,4927,4931
TRUE,offset_sigma_curve_acc95,3486.1399271069545,4930,-1389.6709984766703,2787.3419969533406,2813.3551852982373,2779.34199695334,4927,4931
TRUE,offset_sigma_curve_interact_oc_acc68,6783.596072101751,4930,-2896.4679649209115,5802.935929841823,5835.452415272944,5792.935929841823,4926,4931
TRUE,offset_sigma_curve_interact_oc_acc95,3486.1399271069545,4930,-1389.662989563952,2789.325979127904,2821.8424645590244,2779.325979127904,4926,4931
TRUE,offset_sigma_curve_interact_oc_sc_acc68,6783.596072101751,4930,-2895.7922153856216,5803.584430771243,5842.604213288588,5791.584430771243,4925,4931
TRUE,offset_sigma_curve_interact_oc_sc_acc95,3486.1399271069545,4930,-1364.088247358335,2740.17649471667,2779.1962772340144,2728.17649471667,4925,4931
TRUE,offset_sigma_curve_interact_oc_sc_ocs_acc68,6783.596072101751,4930,-2823.352463176686,5662.704926353372,5714.731303043165,5646.704926353372,4923,4931
TRUE,offset_sigma_curve_interact_oc_sc_ocs_acc95,3486.1399271069545,4930,-1341.9073875788529,2699.8147751577058,2751.8411518474986,2683.8147751577058,4923,4931
TRUE,offset_sigma_curve_interact_os_acc68,6783.596072101751,4930,-2825.5560455632153,5661.112091126431,5693.628576557551,5651.112091126431,4926,4931
TRUE,offset_sigma_curve_interact_os_acc95,3486.1399271069545,4930,-1371.6090235089366,2753.2180470178732,2785.734532448994,2743.2180470178732,4926,4931
TRUE,offset_sigma_curve_interact_os_cs_acc68,6783.596072101751,4930,-2823.6380119298556,5659.276023859711,5698.295806377056,5647.276023859711,4925,4931
TRUE,offset_sigma_curve_interact_os_cs_acc95,3486.1399271069545,4930,-1342.4175970591293,2696.8351941182586,2735.854976635603,2684.8351941182586,4925,4931
TRUE,offset_sigma_curve_comb_acc68,6783.596072101751,4930,-2902.63827360844,5811.27654721688,5830.786438475553,5805.27654721688,4928,4931
TRUE,offset_sigma_curve_comb_acc95,3486.1399271069545,4930,-1401.169852280157,2808.339704560314,2827.8495958189865,2802.339704560314,4928,4931
TRUE,offset_sigma_curve_comb_interact_acc68,6783.596072101751,4930,-2849.392799691296,5706.785599382592,5732.798787727489,5698.785599382592,4927,4931
TRUE,offset_sigma_curve_comb_interact_acc95,3486.1399271069545,4930,-1386.4730046430332,2780.9460092860663,2806.959197630963,2772.9460092860663,4927,4931
