offset_pos,binned_targets,null.deviance,df.null,logLik,AIC,BIC,deviance,df.residual,nobs,model,bin_start
FALSE,34,143.94724667520828,104,-62.148164302404695,128.2963286048094,133.60424930512443,124.2963286048094,103,105,offset_only_acc68,8011
FALSE,43,135.62727834966682,102,-56.43465913265334,116.86931826530667,122.13877624176595,112.86931826530667,101,103,offset_only_acc68,10313
TRUE,8,141.6113185651695,102,-59.794523902263386,123.58904780452676,128.85850578098604,119.58904780452676,101,103,offset_only_acc68,1689
TRUE,7,139.96961415900654,102,-65.12454219963331,134.24908439926662,139.5185423757259,130.24908439926662,101,103,offset_only_acc68,1459
TRUE,46,126.83572714244112,99,-48.78954790221723,101.57909580443446,106.78943617641065,97.57909580443446,98,100,offset_only_acc68,11091
FALSE,9,142.70092819596545,102,-59.38804192606607,122.77608385213216,128.0455418285914,118.77608385213216,101,103,offset_only_acc68,1949
FALSE,46,137.6277627427177,99,-63.763344650051025,131.52668930010205,136.73702967207822,127.52668930010203,98,100,offset_only_acc68,11091
FALSE,19,131.74639904044477,97,-56.55542266920235,117.1108453384047,122.28078029574584,113.1108453384047,96,98,offset_only_acc68,4391
FALSE,12,152.45601408305325,109,-68.47361995578365,140.9472399115673,146.34820064315213,136.9472399115673,108,110,offset_only_acc68,2660
FALSE,15,142.00090765222276,102,-63.24301830849987,130.48603661699974,135.75549459345902,126.48603661699975,101,103,offset_only_acc68,3424
TRUE,24,137.98875169167988,99,-64.02268928638864,132.04537857277728,137.25571894475345,128.04537857277728,98,100,offset_only_acc68,5544
TRUE,20,134.46024356765733,96,-56.34311470806519,116.68622941613036,121.83565137313714,112.68622941613036,95,97,offset_only_acc68,4641
TRUE,35,129.88796330957604,96,-57.25152114674852,118.50304229349705,123.6524642505038,114.50304229349705,95,97,offset_only_acc68,8252
TRUE,48,125.66643863042415,96,-38.29526150363824,80.59052300727649,85.73994496428325,76.59052300727649,95,97,offset_only_acc68,11587
TRUE,41,129.033017729646,100,-62.72361103002152,129.44722206004303,134.67746309372555,125.44722206004305,99,101,offset_only_acc68,9808
TRUE,9,133.96495901785903,96,-56.99335276366711,117.98670552733422,123.136127484341,113.98670552733422,95,97,offset_only_acc68,1949
FALSE,39,131.96070558130353,108,-47.64289274928434,99.28578549856869,104.66848126302698,95.28578549856869,107,109,offset_only_acc68,9335
TRUE,31,132.14163099756632,96,-60.76749438890911,125.5349887778182,130.68441073482498,121.5349887778182,95,97,offset_only_acc68,7273
FALSE,25,135.69353672080535,97,-55.66216991791132,115.32433983582264,120.49427479316378,111.32433983582264,96,98,offset_only_acc68,5783
TRUE,12,124.36619567648724,89,-55.43857659377357,114.87715318754714,119.87677252820768,110.87715318754714,88,90,offset_only_acc68,2660
TRUE,13,132.14163099756632,96,-63.367535629212554,130.7350712584251,135.88449321543186,126.73507125842512,95,97,offset_only_acc68,2922
TRUE,49,138.2088585075363,101,-58.821849307552505,121.643698615105,126.89364424167356,117.643698615105,100,102,offset_only_acc68,11812
FALSE,23,154.370921203076,111,-60.389679409103586,124.77935881820716,130.21635656079735,120.77935881820716,110,112,offset_only_acc68,5325
FALSE,16,142.31222415257565,102,-62.25072876807863,128.50145753615726,133.77091551261654,124.50145753615725,101,103,offset_only_acc68,3661
TRUE,25,139.47437690179964,101,-64.35133365798353,132.70266731596706,137.9526129425356,128.70266731596706,100,102,offset_only_acc68,5783
TRUE,15,133.22044285106827,96,-58.24087218439811,120.4817443687962,125.63116632580298,116.4817443687962,95,97,offset_only_acc68,3424
FALSE,20,142.7786103049553,102,-62.939648623646065,129.87929724729213,135.1487552237514,125.87929724729212,101,103,offset_only_acc68,4641
FALSE,29,138.5859160222526,103,-58.560677436053,121.121354872106,126.41013667038874,117.121354872106,102,104,offset_only_acc68,6760
FALSE,18,139.9869852975238,101,-61.002194187563774,126.00438837512756,131.2543340016961,122.00438837512756,100,102,offset_only_acc68,4140
