target_year,offset_pos,null.deviance,df.null,logLik,AIC,BIC,deviance,df.residual,nobs,model
6026,FALSE,679.741783679349,504,-339.61832910269123,683.2366582053825,691.6857750639332,679.2366582053825,503,505,sigma_only_acc68
6026,TRUE,676.5661343416922,494,-334.2851924762609,672.5703849525217,680.9795004776591,668.5703849525217,493,495,sigma_only_acc68
7273,TRUE,654.65081309761,485,-323.8008795727848,651.6017591455696,659.9741763933706,647.6017591455696,484,486,sigma_only_acc68
7273,FALSE,692.9754194575079,513,-342.0411549264358,688.0823098528716,696.5667563837819,684.0823098528716,512,514,sigma_only_acc68
8557,TRUE,647.7111138823084,486,-321.00160007780187,646.0032001556037,654.379728401769,642.0032001556037,485,487,sigma_only_acc68
8557,FALSE,677.343372300798,512,-338.6622432739287,681.3244865478574,689.8050382381989,677.3244865478574,511,513,sigma_only_acc68
9808,TRUE,688.5099922402939,511,-343.27672382175746,690.5534476435149,699.030096893594,686.5534476435149,510,512,sigma_only_acc68
9808,FALSE,662.6673758685752,487,-331.33344066592764,666.6668813318553,675.0475121435616,662.6668813318553,486,488,sigma_only_acc68
11091,TRUE,686.9604549123441,512,-340.1307147118194,684.2614294236388,692.7419811139803,680.2614294236388,511,513,sigma_only_acc68
11091,FALSE,662.8995764265991,486,-326.21636126989085,656.4327225397817,664.8092507859469,652.4327225397817,485,487,sigma_only_acc68
1,FALSE,711.613379655368,513,-289.3422151654114,584.6844303308228,597.4111001271883,578.6844303308228,511,514,offset_sigma_acc68
1,TRUE,668.585913501418,485,-283.1331553666141,572.2663107332282,584.8249366049297,566.2663107332282,483,486,offset_sigma_acc68
1206,FALSE,705.1817225833967,508,-293.9579636978631,593.9159273957262,606.6132714453777,587.9159273957262,506,509,offset_sigma_acc68
1206,TRUE,680.5055526206003,490,-296.3820716440895,598.764143288179,611.3534756715625,592.764143288179,488,491,offset_sigma_acc68
2413,FALSE,716.6194042401037,516,-306.6695032927153,619.3390065854306,632.0831352089559,613.3390065854306,514,517,offset_sigma_acc68
2413,TRUE,668.2856021551269,482,-289.6998571944637,585.3997143889274,597.9397643498851,579.3997143889274,480,483,offset_sigma_acc68
3661,FALSE,715.303485009777,516,-311.979087048528,629.958174097056,642.7023027205813,623.958174097056,514,517,offset_sigma_acc68
3661,TRUE,667.0417202369669,482,-289.977415827204,585.954831654408,598.4948816153658,579.954831654408,480,483,offset_sigma_acc68
4854,FALSE,697.3653306639112,504,-286.34815062511865,578.6963012502373,591.3699765380634,572.6963012502373,502,505,offset_sigma_acc68
4854,TRUE,685.971244187042,494,-295.11055038119895,596.2211007623979,608.834774050104,590.2211007623979,492,495,offset_sigma_acc68
6026,FALSE,679.741783679349,504,-293.0073194651472,592.0146389302944,604.6883142181205,586.0146389302944,502,505,offset_sigma_acc68
6026,TRUE,676.5661343416922,494,-299.6146896571281,605.2293793142562,617.8430526019623,599.2293793142562,492,495,offset_sigma_acc68
7273,TRUE,654.65081309761,485,-282.5480335051739,571.0960670103478,583.6546928820493,565.0960670103478,483,486,offset_sigma_acc68
7273,FALSE,692.9754194575079,513,-294.72486947431264,595.4497389486253,608.1764087449908,589.4497389486253,511,514,offset_sigma_acc68
8557,TRUE,647.7111138823084,486,-273.5309983557719,553.0619967115438,565.6267890807916,547.0619967115438,484,487,offset_sigma_acc68
8557,FALSE,677.343372300798,512,-294.8059593361277,595.6119186722555,608.3327462077677,589.6119186722555,510,513,offset_sigma_acc68
9808,TRUE,688.5099922402939,511,-304.2910233672772,614.5820467345544,627.2970206096729,608.5820467345544,509,512,offset_sigma_acc68
9808,FALSE,662.6673758685752,487,-278.1116241230172,562.2232482460344,574.7941944635938,556.2232482460344,485,488,offset_sigma_acc68
11091,TRUE,686.9604549123441,512,-273.1851879726753,552.3703759453506,565.0912034808629,546.3703759453506,510,513,offset_sigma_acc68
11091,FALSE,662.8995764265991,486,-275.59542638759854,557.1908527751971,569.7556451444449,551.1908527751971,484,487,offset_sigma_acc68
1,FALSE,711.613379655368,513,-278.2138517006002,564.4277034012003,581.396596463021,556.4277034012003,510,514,offset_sigma_interact_acc68
1,TRUE,668.585913501418,485,-271.15736957212863,550.3147391442573,567.0595736398592,542.3147391442573,482,486,offset_sigma_interact_acc68
1206,FALSE,705.1817225833967,508,-285.4752469014862,578.9504938029723,595.8802858691745,570.9504938029723,505,509,offset_sigma_interact_acc68
1206,TRUE,680.5055526206003,490,-290.79030145014116,589.5806029002823,606.3663794114603,581.5806029002823,487,491,offset_sigma_interact_acc68
2413,FALSE,716.6194042401037,516,-297.13524538175585,602.2704907635117,619.2626622615454,594.2704907635117,513,517,offset_sigma_interact_acc68
2413,TRUE,668.2856021551269,482,-280.4311170900938,568.8622341801876,585.5823007947979,560.8622341801876,479,483,offset_sigma_interact_acc68
3661,FALSE,715.303485009777,516,-299.2488100029111,606.4976200058222,623.4897915038559,598.4976200058222,513,517,offset_sigma_interact_acc68
3661,TRUE,667.0417202369669,482,-285.48912666259884,578.9782533251977,595.698319939808,570.9782533251977,479,483,offset_sigma_interact_acc68
4854,FALSE,697.3653306639112,504,-278.9359707841269,565.8719415682538,582.7701752853552,557.8719415682538,501,505,offset_sigma_interact_acc68
4854,TRUE,685.971244187042,494,-291.23267469408364,590.4653493881673,607.2835804384421,582.4653493881673,491,495,offset_sigma_interact_acc68
6026,FALSE,679.741783679349,504,-279.94055407784435,567.8811081556887,584.7793418727902,559.8811081556887,501,505,offset_sigma_interact_acc68
6026,TRUE,676.5661343416922,494,-291.21969915119547,590.4393983023909,607.2576293526657,582.4393983023909,491,495,offset_sigma_interact_acc68
7273,TRUE,654.65081309761,485,-274.0095170412316,556.0190340824632,572.7638685780652,548.0190340824632,482,486,offset_sigma_interact_acc68
7273,FALSE,692.9754194575079,513,-284.0087037674255,576.017407534851,592.9863005966716,568.017407534851,510,514,offset_sigma_interact_acc68
8557,TRUE,647.7111138823084,486,-263.38685065966155,534.7737013193231,551.5267578116534,526.7737013193231,483,487,offset_sigma_interact_acc68
8557,FALSE,677.343372300798,512,-290.99699435323754,589.9939887064751,606.9550920871582,581.9939887064751,509,513,offset_sigma_interact_acc68
9808,TRUE,688.5099922402939,511,-293.4585812377072,594.9171624754144,611.8704609755724,586.9171624754144,508,512,offset_sigma_interact_acc68
9808,FALSE,662.6673758685752,487,-273.35909610053795,554.7181922010759,571.4794538244885,546.7181922010759,484,488,offset_sigma_interact_acc68
11091,TRUE,686.9604549123441,512,-271.0989968035134,550.1979936070268,567.1590969877099,542.1979936070268,509,513,offset_sigma_interact_acc68
11091,FALSE,662.8995764265991,486,-266.62807933765885,541.2561586753177,558.0092151676481,533.2561586753177,483,487,offset_sigma_interact_acc68
1,FALSE,503.70061476978134,513,-206.53021271960233,417.06042543920466,425.54487197011497,413.06042543920466,512,514,offset_only_acc95
1,TRUE,496.74307062775165,485,-207.81943057275737,419.63886114551474,428.0112783933157,415.63886114551474,484,486,offset_only_acc95
1206,FALSE,449.43657699984925,508,-180.52751849061698,365.05503698123397,373.51993301433504,361.05503698123397,507,509,offset_only_acc95
1206,TRUE,449.3569783382702,490,-174.17806453946807,352.35612907893614,360.74901733452515,348.35612907893614,489,491,offset_only_acc95
2413,FALSE,431.6672843740752,516,-175.32553036937105,354.6510607387421,363.14714648775896,350.6510607387421,515,517,offset_only_acc95
