CalBP,BP,Error
1259,1277,12
1260,1278,12
1261,1280,12
1262,1281,13
1263,1283,13
1264,1285,14
1265,1286,14
1266,1288,14
1267,1290,14
1268,1292,14
1269,1294,14
1270,1295,14
1271,1297,14
1272,1299,14
1273,1302,13
1274,1304,13
1275,1306,13
1276,1308,13
1277,1311,13
1278,1313,13
1279,1316,13
1280,1318,13
1281,1321,13
1282,1324,14
1283,1327,14
1284,1331,14
1285,1334,14
1286,1337,14
1287,1341,14
1288,1345,14
1289,1349,14
1290,1353,14
1291,1357,13
1292,1361,13
1293,1365,13
1294,1369,13
1295,1374,13
1296,1378,13
1297,1382,13
1298,1387,13
1299,1391,13
1300,1396,13
1301,1400,13
1302,1404,13
1303,1409,13
1304,1413,13
1305,1417,14
1306,1421,13
1307,1425,13
1308,1429,13
1309,1432,13
1310,1436,13
1311,1439,12
1312,1442,12
1313,1445,12
1314,1448,13
1315,1450,13
1316,1451,13
1317,1453,13
1318,1453,13
1319,1453,13
1320,1453,13
1321,1452,13
1322,1451,13
1323,1450,13
1324,1448,14
1325,1447,14
1326,1445,14
1327,1444,13
1328,1442,13
1329,1441,13
1330,1439,14
1331,1438,14
1332,1437,14
1333,1435,14
1334,1434,14
1335,1434,14
1336,1433,13
1337,1433,13
1338,1433,13
1339,1434,14
1340,1436,14
1341,1438,14
1342,1440,14
1343,1443,13
1344,1447,13
1345,1451,13
1346,1455,13
1347,1459,13
1348,1463,14
1349,1467,14
1350,1470,14
1351,1474,14
1352,1477,14
1353,1479,13
1354,1481,13
1355,1483,13
1356,1485,13
1357,1487,14
1358,1488,14
1359,1489,14
1360,1490,14
1361,1491,14
1362,1491,13
1363,1492,13
1364,1493,13
1365,1493,14
1366,1494,14
1367,1494,14
1368,1495,14
1369,1496,14
1370,1496,13
1371,1497,13
1372,1498,14
1373,1499,14
1374,1500,14
1375,1501,14
1376,1503,14
1377,1504,13
1378,1506,13
1379,1508,13
1380,1509,14
1381,1511,14
1382,1513,14
1383,1515,14
1384,1517,14
1385,1519,13
1386,1521,13
1387,1523,13
1388,1525,13
1389,1526,13
1390,1528,14
1391,1529,14
1392,1529,14
1393,1530,13
1394,1531,13
1395,1531,13
1396,1532,13
1397,1533,13
1398,1534,13
1399,1535,13
1400,1537,13
1401,1539,13
1402,1541,13
1403,1544,13
1404,1547,13
1405,1550,13
1406,1553,13
1407,1556,13
1408,1559,12
1409,1562,12
1410,1566,13
1411,1569,13
1412,1572,13
1413,1575,13
1414,1579,13
1415,1582,12
1416,1585,12
1417,1588,13
1418,1591,13
1419,1593,13
1420,1595,13
1421,1597,13
1422,1599,13
1423,1600,12
1424,1601,13
1425,1602,13
1426,1603,13
1427,1603,12
1428,1603,12
1429,1602,13
1430,1602,13
1431,1600,13
1432,1599,13
1433,1597,13
1434,1595,13
1435,1593,13
1436,1592,13
1437,1591,13
1438,1591,13
1439,1592,13
1440,1592,12
1441,1594,12
1442,1595,13
1443,1596,13
1444,1597,13
1445,1598,13
1446,1598,12
1447,1598,12
1448,1598,12
1449,1597,13
1450,1595,13
1451,1593,13
1452,1590,12
1453,1588,12
1454,1585,12
1455,1582,13
1456,1580,13
1457,1578,12
1458,1577,12
1459,1575,12
1460,1575,12
1461,1574,12
1462,1574,12
1463,1573,12
1464,1573,11
1465,1573,11
1466,1573,11
1467,1574,11
1468,1574,11
1469,1576,11
1470,1578,11
1471,1580,11
1472,1584,11
1473,1587,11
1474,1591,11
1475,1595,11
1476,1598,11
1477,1601,11
