"","sim_number","oxcal_target","agreement_model","SimNumber","Targets","Span","Samples","Phases","Errors","OffsetVaria","model_run","accuracy_68","accuracy_95","precision_68","precision_95","off_target_68","off_target_95","Offset"
"3579",1790,"TEB11677",0,1790,9805,52,12,1,23,4.07819890416111,0,0,0,0,0,0,0,0
"3580",1790,"TSB11786",0,1790,9805,52,12,1,23,4.07819890416111,0,0,0,0,0,0,0,0
"3581",1791,"TEB4012",106.1,1791,9180,182,15,1,20,15.004467043455,1,1,1,74.5,141,0,0,0
"3582",1791,"TSB4201",106.1,1791,9180,182,15,1,20,15.004467043455,1,1,1,68.5,133.5,0,0,0
"3583",1792,"TEB5685",97.4,1792,3673,105,28,1,31,5.47782428531861,1,0,1,61.5,118,29.5,0,0
"3584",1792,"TSB5734",97.4,1792,3673,105,28,1,31,5.47782428531861,1,1,1,48.5,104,0,0,0
"3585",1793,"TEB8183",106,1793,3933,123,23,1,28,5.0631943476724,1,0,1,75,130,2.5,0,0
"3586",1793,"TSB8340",106,1793,3933,123,23,1,28,5.0631943476724,1,0,1,55.5,124.5,8,0,0
"3587",1794,"TEB1169",0,1794,6481,98,29,1,10,21.7472725051348,0,0,0,0,0,0,0,0
"3588",1794,"TSB1275",0,1794,6481,98,29,1,10,21.7472725051348,0,0,0,0,0,0,0,0
"3589",1795,"TEB5647",110.8,1795,3992,69,33,1,15,5.81859098342038,1,0,1,58.5,121,3.5,0,0
"3590",1795,"TSB5828",110.8,1795,3992,69,33,1,15,5.81859098342038,1,1,1,81,153,0,0,0
"3591",1796,"TEB6287",95.95,1796,11559,38,5,1,16,1.6241963824844,1,1,1,70.5,112,0,0,0
"3592",1796,"TSB6462",95.95,1796,11559,38,5,1,16,1.6241963824844,1,1,1,54,96.5,0,0,0
"3593",1797,"TEB3702",100.35,1797,1950,78,8,1,14,10.6452479874287,1,0,1,46.5,105,5.5,0,0
"3594",1797,"TSB3787",100.35,1797,1950,78,8,1,14,10.6452479874287,1,0,1,62,116.5,2,0,0
"3595",1798,"TEB9269",76,1798,7075,127,6,1,15,11.3338173258244,1,1,1,119,240,0,0,0
"3596",1798,"TSB9427",76,1798,7075,127,6,1,15,11.3338173258244,1,1,1,105,189.5,0,0,0
"3597",1799,"TEB5670",76.95,1799,4463,115,27,1,11,16.5982563516856,1,0,1,132,257.5,25,0,0
"3598",1799,"TSB5863",76.95,1799,4463,115,27,1,11,16.5982563516856,1,1,1,77.5,210,0,0,0
"3599",1800,"TEB2734",88.5,1800,3259,159,40,1,19,8.23198492518789,1,0,1,12,22,0.5,0,0
"3600",1800,"TSB2778",88.5,1800,3259,159,40,1,19,8.23198492518789,1,0,1,13,30,5.5,0,0
"3601",1801,"TEB1455",100.8,1801,3045,108,30,1,28,15.06485966211,1,1,1,74.5,126,0,0,0
"3602",1801,"TSB1573",100.8,1801,3045,108,30,1,28,15.06485966211,1,1,1,44.5,86.5,0,0,0
"3603",1802,"TEB1384",78.95,1802,6914,37,27,1,27,23.9336462675177,1,1,1,19,39.5,0,0,0
"3604",1802,"TSB1571",78.95,1802,6914,37,27,1,27,23.9336462675177,1,1,1,40.5,70.5,0,0,0
"3605",1803,"TEB6959",92.45,1803,10792,47,25,1,19,0.739278564775595,1,1,1,72,180,0,0,0
