target_year,curve_uncert,offset_14c_age,measurement_error,offset_magnitude,accuracy_68,accuracy_95,precision_68,precision_95,off_target_68,off_target_95,sigma_curve_uncert
116,10,139.1076636,12.39099494,-3.531111963,0,1,83,175,3,NA,15.92283754872559
116,10,147.3439982,24.51448681,31.4946916,0,1,127,239,3,NA,26.4756503897008
117,10,70.85472857,9.711391379,-39.23693108,0,1,26,60,2,NA,13.93955245035204
118,9,70.82218629,11.94823661,-23.3883199,1,1,32,65,NA,NA,14.958621530359817
119,9,61.77517129,11.37241669,-32.90550231,1,1,25,59,NA,NA,14.502822531183043
119,9,143.5996369,21.15458265,43.06256536,0,1,130,235,5,NA,22.989483837086926
121,10,97.12771241,24.23160667,-6.153033487,1,1,93,151,NA,NA,26.213942126463706
121,10,66.79557538,28.64698663,-19.84933191,1,1,70,140,NA,NA,30.342212229489775
121,10,89.83842612,28.85290898,15.20423291,1,1,93,162,NA,NA,30.53670507124442
122,10,88.23775545,19.73899478,-5.021770787,1,1,66,138,NA,NA,22.127537479911027
122,10,109.4581843,11.86551268,23.99695718,1,1,89,139,NA,NA,15.517422181510716
123,9,103.692118,26.40697763,25.51540916,1,1,98,172,NA,NA,27.898538806742557
123,9,39.77386672,20.44978462,-36.57263946,1,1,33,80,NA,NA,22.34264288315929
125,9,76.48389545,16.16907911,-8.758191159,1,1,47,108,NA,NA,18.505110625593094
126,9,108.0058821,34.52375555,-16.42251243,1,1,135,212,NA,NA,35.67757975642624
128,9,114.8887517,19.08069652,5.700187874,1,1,108,162,NA,NA,21.09675282332189
128,9,128.0909945,19.13297214,8.936099894,0,1,114,197,5,NA,21.144044620413005
129,9,147.4824217,21.79886727,35.23592828,0,0,119,227,9,2,23.58369382126297
130,9,82.99014458,12.07957292,-33.44099475,1,1,39,86,NA,NA,15.06373399690785
131,9,70.27017848,17.3837872,-32.47248484,1,1,46,105,NA,NA,19.57539418287366
132,9,58.31724539,23.76095475,-38.40633177,1,1,51,123,NA,NA,25.40832482930639
132,9,62.24508242,9.295757022,-49.42140477,0,1,19,53,8,NA,12.938744089441691
133,10,147.8118097,31.95798145,25.73235377,0,1,146,262,4,NA,33.4860057092294
133,10,147.0602745,20.88579927,49.19880773,0,1,119,227,5,NA,23.15635142129978
134,10,116.8851331,24.83135186,7.642164966,1,1,117,188,NA,NA,26.76931144417289
138,10,86.19706164,12.29563568,-36.99864573,0,1,47,97,5,NA,15.848743066101143
139,10,115.9917691,26.85681734,-30.83745507,1,1,131,199,NA,NA,28.658133882619165
140,10,99.25967567,8.269554506,-32.03742574,0,1,53,114,6,NA,12.976345083562817
141,10,168.9606765,11.16780633,37.95408041,0,0,59,106,7,2,14.990660366521151
141,10,145.3040531,8.836469783,8.7855889,1,1,70,160,NA,NA,13.344781685208345
143,10,131.3844616,15.0161425,-11.67173225,1,1,95,192,NA,NA,18.04118997129364
146,10,179.7550832,27.95571802,21.59600758,1,1,103,201,NA,NA,29.69043903369825
147,10,184.5300118,12.57081225,7.764148246,0,1,57,111,21,NA,16.063166581491647
147,10,133.5852527,22.77575882,-2.157137007,1,1,125,226,NA,NA,24.87438823020192
149,10,170.2024643,14.95543342,16.49822111,1,1,77,131,NA,NA,17.990691726002446
150,10,170.4901179,16.82509478,-8.187485253,1,1,80,145,NA,NA,19.57252703040625
150,10,114.6571495,22.202637,-36.79229491,0,0,114,175,12,3,24.350710251525907
152,10,250.9358509,31.93801741,44.620004110000004,0,1,59,189,1,NA,33.46695319388162
155,10,229.6260229,24.46107822,-25.20401273,1,1,40,115,NA,NA,26.426205699739764
157,10,201.5508175,24.92696952,-30.79115909,1,1,71,140,NA,NA,26.858030632401345
157,10,171.9983409,25.25714783,-33.97991839,0,1,94,212,5,NA,27.164747679786643
160,10,217.2618606,11.78408223,-23.18192846,1,1,18,58,NA,NA,15.45524487037982
160,10,223.9676334,16.56828899,2.161387587,1,1,23,77,NA,NA,19.3522143450344
164,10,184.4452326,16.41561997,-28.12700423,0,1,73,126,3,NA,19.22166951644583
164,10,191.9372782,29.96567393,-46.3839371,1,1,109,205,NA,NA,31.590213897330322
165,10,174.6403093,26.56305255,-39.00139586,0,1,97,208,4,NA,28.38301888055711
166,10,191.9543433,17.9032546,-4.663177556,1,1,57,121,NA,NA,20.50674340972796
167,10,195.4561688,19.65003813,21.72010334,1,1,67,125,NA,NA,22.048219849013975
167,10,236.6398438,14.26420471,32.93508531,0,1,19,34,4,NA,17.42031962992603
168,10,223.2333431,16.88166637,40.67758005,0,1,23,75,1,NA,19.621178849090313
171,10,190.8364709,9.156973966,3.053334495,1,1,47,105,NA,NA,13.559136116065869
171,10,165.8310306,20.39423358,-40.29566215,0,1,89,186,2,NA,22.713977267656134
172,10,211.29356,29.71721421,26.20139006,1,1,78,150,NA,NA,31.35462996756661
173,10,234.5951803,12.64949656,44.44596882,0,0,21,36,9,5,16.12481823840045
176,10,214.0447007,8.524875529,29.28939096,0,0,20,40,8,3,13.140529014653216
178,10,187.049807,12.81993644,1.49785087,1,1,59,109,NA,NA,16.258867436744783
178,10,148.3609604,34.30359584,-20.16075349,0,1,157,262,1,NA,35.73145235718897
179,10,161.3367501,24.50072722,-30.97013435,1,1,112,225,NA,NA,26.46291054114889
181,10,166.5122268,10.59617557,-20.47116233,0,1,54,113,4,NA,14.56979535581282
